lr: 5e-06
epochs: 1500
batch_size: 1024
batch_num: 100
eval_batch_size: 1024
eval_batch_num: 1
eval_seed: 0
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
n_bays: 2
n_rows: 4
n_tiers: 6
instance_type: random
objective: workingtime
device: cuda:0
log_path: ./train/20250220_150401
--------------------
Epoch: 0 | Train loss: None | Eval WT: 6053.596 | Eval moves: 82.149 | 1s
Epoch: 1 | Train loss: -8.80340250484958 | Eval WT: 4930.853 | Eval moves: 69.655 | 232s
Epoch: 2 | Train loss: -8.36248196911706 | Eval WT: 4569.708 | Eval moves: 65.672 | 162s
Epoch: 3 | Train loss: -8.570151003283186 | Eval WT: 4457.036 | Eval moves: 65.427 | 163s
Epoch: 4 | Train loss: -9.014747162390453 | Eval WT: 4397.549 | Eval moves: 65.191 | 171s
Epoch: 5 | Train loss: -9.242813060341346 | Eval WT: 4388.784 | Eval moves: 65.396 | 170s
Epoch: 6 | Train loss: -9.099110149754571 | Eval WT: 4411.982 | Eval moves: 65.792 | 174s
Epoch: 7 | Train loss: -9.318932006217338 | Eval WT: 4651.604 | Eval moves: 69.237 | 174s
Epoch: 8 | Train loss: -9.179031566130366 | Eval WT: 4276.339 | Eval moves: 65.711 | 174s
Epoch: 9 | Train loss: -9.583679613570423 | Eval WT: 4259.748 | Eval moves: 65.879 | 177s
Epoch: 10 | Train loss: -9.406768982931432 | Eval WT: 4268.895 | Eval moves: 65.975 | 174s
Epoch: 11 | Train loss: -9.633987384485666 | Eval WT: 4268.73 | Eval moves: 66.458 | 212s
Epoch: 12 | Train loss: -9.720344730959363 | Eval WT: 4233.555 | Eval moves: 66.188 | 177s
Epoch: 13 | Train loss: -9.9632520169652 | Eval WT: 4306.652 | Eval moves: 66.87 | 179s
Epoch: 14 | Train loss: -11.852511647513111 | Eval WT: 4188.906 | Eval moves: 65.386 | 189s
Epoch: 15 | Train loss: -10.6210361275375 | Eval WT: 4260.62 | Eval moves: 65.649 | 181s
Epoch: 16 | Train loss: -10.80411394082399 | Eval WT: 4391.362 | Eval moves: 67.444 | 180s
Epoch: 17 | Train loss: -11.254517844529834 | Eval WT: 4456.623 | Eval moves: 68.166 | 181s
Epoch: 18 | Train loss: -10.784727586967833 | Eval WT: 4511.106 | Eval moves: 69.229 | 173s
Epoch: 19 | Train loss: -10.708036123432553 | Eval WT: 4198.465 | Eval moves: 65.98 | 175s
Epoch: 20 | Train loss: -10.608121731670835 | Eval WT: 4152.241 | Eval moves: 65.387 | 175s
Epoch: 21 | Train loss: -10.754283060691332 | Eval WT: 4235.2 | Eval moves: 66.57 | 205s
Epoch: 22 | Train loss: -11.259747242716776 | Eval WT: 4143.78 | Eval moves: 65.797 | 177s
Epoch: 23 | Train loss: -11.147799515518315 | Eval WT: 4158.357 | Eval moves: 65.594 | 174s
Epoch: 24 | Train loss: -11.239492461589247 | Eval WT: 4415.939 | Eval moves: 68.788 | 172s
Epoch: 25 | Train loss: -11.13348164158812 | Eval WT: 4306.083 | Eval moves: 67.045 | 171s
Epoch: 26 | Train loss: -11.367089912920505 | Eval WT: 4361.463 | Eval moves: 68.604 | 171s
Epoch: 27 | Train loss: -11.40629286784575 | Eval WT: 4131.278 | Eval moves: 65.206 | 173s
Epoch: 28 | Train loss: -11.458225068428668 | Eval WT: 4274.9 | Eval moves: 67.27 | 172s
Epoch: 29 | Train loss: -11.586327084133003 | Eval WT: 4224.492 | Eval moves: 66.784 | 171s
Epoch: 30 | Train loss: -11.512822823732707 | Eval WT: 4141.749 | Eval moves: 65.502 | 174s
Epoch: 31 | Train loss: -11.645841486114671 | Eval WT: 4126.984 | Eval moves: 65.261 | 205s
Epoch: 32 | Train loss: -11.370791518549 | Eval WT: 4163.971 | Eval moves: 66.014 | 172s
Epoch: 33 | Train loss: -11.252555908200755 | Eval WT: 4053.868 | Eval moves: 65.032 | 172s
Epoch: 34 | Train loss: -12.477231430682156 | Eval WT: 4167.401 | Eval moves: 65.754 | 177s
Epoch: 35 | Train loss: -12.393362622798888 | Eval WT: 4169.12 | Eval moves: 66.017 | 178s
Epoch: 36 | Train loss: -12.261877321394067 | Eval WT: 4224.146 | Eval moves: 66.359 | 177s
Epoch: 37 | Train loss: -12.452474559694329 | Eval WT: 4248.844 | Eval moves: 66.76 | 177s
Epoch: 38 | Train loss: -12.726042501703535 | Eval WT: 4326.746 | Eval moves: 67.618 | 178s
Epoch: 39 | Train loss: -13.681984267146875 | Eval WT: 4143.66 | Eval moves: 65.619 | 183s
Epoch: 40 | Train loss: -13.591603589258305 | Eval WT: 4386.94 | Eval moves: 68.327 | 181s
Epoch: 41 | Train loss: -13.235089538411763 | Eval WT: 4318.72 | Eval moves: 67.795 | 216s
Epoch: 42 | Train loss: -13.331048511585339 | Eval WT: 4347.75 | Eval moves: 68.272 | 179s
Epoch: 43 | Train loss: -13.786852371740888 | Eval WT: 4103.09 | Eval moves: 65.446 | 190s
Epoch: 44 | Train loss: -13.854333557738082 | Eval WT: 4290.054 | Eval moves: 68.384 | 191s
Epoch: 45 | Train loss: -13.706326450911506 | Eval WT: 4060.806 | Eval moves: 65.213 | 182s
Epoch: 46 | Train loss: -13.530961144880873 | Eval WT: 4053.129 | Eval moves: 65.198 | 187s
Epoch: 47 | Train loss: -13.639293572624823 | Eval WT: 4361.36 | Eval moves: 68.99 | 182s
Epoch: 48 | Train loss: -13.686288368477882 | Eval WT: 4161.428 | Eval moves: 66.151 | 182s
Epoch: 49 | Train loss: -13.425921156730999 | Eval WT: 4104.242 | Eval moves: 65.645 | 183s
